"","X","Y","P","PH","K","MO","SB","iCone","Rend","PROD"
"81",5.6,39.6,2.7,5.4,0.23,43.55,59.18,28.5,5.8002,2.32
"82",15.2,37.6,3.3,5.2,0.23,46.9,57.1,32.5,6.2643,2.51
"83",24.8,40.6,4.1,4.7,0.26,42.9,42.9,21,6.3542,2.54
"84",34.4,41.6,3,4.8,0.24,45.56,44.34,21,6.0331,2.41
"85",44,37.6,2.9,5,0.2,46.9,50.52,26.5,5.9762,2.39
"86",53.6,37.6,3.6,5,0.2,51.6,51.03,20.5,8.4296,3.37
"87",63.2,38.6,3,4.8,0.21,46.9,41.51,25,5.8261,2.33
"88",72.8,40.6,4.5,5.2,0.27,44.89,55.64,19.5,8.3225,3.33
"89",82.4,39.6,4.7,5.1,0.28,46.9,49.14,15.5,6.4925,2.6
"90",92,38.6,4.5,5.4,0.32,53.61,60.03,20.5,8.7411,3.5
"91",101.6,39.6,3.5,5.6,0.23,43.55,62.21,19,8.0277,3.21
"92",111.2,41.6,3.6,5.6,0.29,48.25,65.06,23,9.0341,3.61
"93",120.8,38.6,3.9,5.9,0.29,50.26,70.9,23,7.2784,2.91
"94",130.4,38.6,5.7,5.6,0.2,52.27,66.51,22,8.9498,3.58
"95",140,37.6,5.8,5.4,0.28,42.9,61.67,21,7.1151,2.85
"96",149.6,40.6,4.5,5.2,0.35,52.27,52.32,24,9.2388,3.7
"97",1.6,46.8,2.9,5.8,0.28,54.95,65.32,26,6.0552,2.42
"98",11.2,44.8,2,5.5,0.22,42.9,56.49,23,5.751,2.3
"99",20.8,47.8,2.7,5.2,0.23,53.61,51.64,19,5.9181,2.37
"100",30.4,48.8,3.4,5.3,0.24,46.9,55.89,16.5,6.7496,2.7
"101",40,44.8,2.8,5.7,0.28,46.9,63.48,10.5,8.0191,3.21
"102",49.6,44.8,3.5,4.9,0.22,56.3,44.89,16.5,7.4363,2.97
"103",59.2,45.8,5.9,5.1,0.25,53.61,56.42,22.5,7.8468,3.14
"104",68.8,47.8,3.5,5.3,0.29,46.9,57.52,13,6.6447,2.66
"105",78.4,46.8,3,5.4,0.32,40.21,58.69,15.5,6.8837,2.75
"106",88,45.8,3.7,5.3,0.3,52.27,55.56,17,6.9143,2.77
"107",97.6,46.8,3.4,5,0.25,46.9,49.04,20,7.3434,2.94
"108",107.2,48.8,3.1,5.2,0.34,54.95,51.48,19,6.611,2.64
"109",116.8,45.8,3,5.6,0.3,56.3,59.96,18.5,7.1029,2.84
"110",126.4,45.8,6.1,5.6,0.38,56.3,66.98,13.5,6.5839,2.63
"111",136,44.8,2.5,5.6,0.24,52.27,66.3,17.5,7.0389,2.82
"112",145.6,47.8,3,5.7,0.28,54.95,63.48,23.5,5.7337,2.29
"113",5.6,54,3.9,5.5,0.31,46.9,60.38,22.5,6.2585,2.5
"114",15.2,52,2.8,5.7,0.26,52.27,64.12,22.5,6.6027,2.64
"115",24.8,55,4.2,5.6,0.3,46.9,63.96,14,7.0095,2.8
"116",34.4,56,3.1,5.2,0.33,53.61,51.63,21.5,6.911,2.76
"117",44,52,5,4.8,0.34,53.61,48.04,13.5,6.7459,2.7
"118",53.6,52,5.9,5,0.74,56.97,51.84,12.5,7.1231,2.85
"119",63.2,53,3.3,5,0.36,40.21,51.55,18.5,6.8947,2.76
"120",72.8,55,3.3,5,0.35,56.3,58.54,18.5,7.6325,3.05
"121",82.4,54,3,4.9,0.3,60.3,54.67,25,7.4876,3
"122",92,53,3.8,5.3,0.35,48.25,66.07,21,7.4899,3
"123",101.6,54,4.5,5.4,0.36,60.3,69.35,21,8.6474,3.46
"124",111.2,56,3.4,5.2,0.39,50.26,62.51,32,7.1566,2.86
"125",120.8,53,2.7,5.3,0.34,50.26,70.35,27,7.6601,3.06
"126",130.4,53,3.8,5.5,0.39,56.97,71.38,16,7.1157,2.85
"127",140,52,4.1,5.2,0.5,52.27,62.43,15.5,7.3636,2.95
"128",149.6,55,3.1,5.1,0.5,56.97,60.24,23,6.315,2.53
"129",2.6,61.2,4.1,5.1,0.38,53.61,57.52,27.5,5.7745,2.31
"130",12.2,59.2,3.9,5.1,0.35,50.26,55.67,26,6.0568,2.42
"131",21.8,62.2,3,5.7,0.4,50.26,77.01,22,7.8055,3.12
"132",31.4,63.2,4.8,5.2,0.4,48.25,63.54,18,6.9778,2.79
"133",41,59.2,3.1,5.2,0.24,58.98,58.75,24.5,7.3991,2.96
"134",50.6,59.2,3.1,5.2,0.29,53.61,64.5,22.5,6.9679,2.79
"135",60.2,60.2,3.3,5.1,0.29,56.97,61.24,20.5,8.5417,3.42
"136",69.8,62.2,3.6,5.6,0.28,48.25,71,24,4.9711,1.99
"137",79.4,61.2,4.5,5.2,0.36,53.61,62.54,17.5,7.5437,3.02
"138",89,60.2,3.8,5.5,0.39,46.9,70.28,13,6.5208,2.61
"139",98.6,61.2,5.2,5.3,0.52,56.3,65.08,17,8.7224,3.49
"140",108.2,63.2,5.9,5.2,0.45,48.25,61.73,22.5,7.9129,3.17
"141",117.8,60.2,4.4,5.1,0.44,53.61,62.06,22.5,8.1591,3.26
"142",127.4,60.2,4.1,4.8,0.39,54.95,48.98,13.5,5.6771,2.27
"143",137,59.2,3.8,5.2,0.53,61.64,64.55,13.5,6.8647,2.75
"144",146.6,62.2,3.5,5.3,0.55,50.26,65.63,12,6.4752,2.59
"145",5.6,68.4,4.4,5.6,0.4,45.56,74,22,6.0815,2.43
"146",15.2,66.4,2.7,5.6,0.32,45.56,69.38,24.5,5.3634,2.15
"147",24.8,69.4,3.3,6,0.31,50.26,76.53,23,5.9701,2.39
"148",34.4,70.4,2.5,5.4,0.32,54.95,67.07,22.5,7.735,3.09
"149",44,66.4,6.5,5.6,0.32,46.9,69.18,27.5,6.6738,2.67
"150",53.6,66.4,4.5,5.1,0.36,50.26,57.44,13,5.0225,2.01
"151",63.2,67.4,3.6,5,0.25,58.98,55.04,22,7.5444,3.02
"152",72.8,69.4,3.4,5.3,0.21,60.3,52.69,20.5,6.87,2.75
"153",82.4,68.4,5.9,5.6,0.31,50.26,53.76,20,7.0788,2.83
"154",92,67.4,5.4,5.4,0.38,54.95,56.48,25,5.971,2.39
"155",101.6,68.4,5.4,5.1,0.5,52.27,18.6,23,8.0796,3.23
"156",111.2,70.4,3.8,5.1,0.48,68.35,14.89,23,7.5662,3.03
"157",120.8,67.4,3.7,5,0.44,56.97,57.95,24.5,7.9235,3.17
"158",130.4,67.4,3.9,5,0.38,53.61,57.39,24.5,6.1945,2.48
"159",140,66.4,3.8,5.1,0.37,67.01,40.5,16,6.8085,2.72
"160",149.6,69.4,5.2,5,0.32,61.64,44.6,20,5.7991,2.32
"161",2.6,75.6,3,4.9,0.21,60.3,42.61,24.5,5.439,2.18
"162",12.2,73.6,3.6,5,0.34,58.98,44.96,22.5,4.9162,1.97
"163",21.8,76.6,2.8,5,0.26,52.27,43.17,19,5.2474,2.1
"164",31.4,77.6,3,4.8,0.25,58.98,41.5,24,5.3755,2.15
"165",41,73.6,2.3,4.9,0.2,56.97,41.95,23,4.9043,1.96
"166",50.6,73.6,2.5,5,0.24,50.93,47.46,19.5,6.4594,2.58
"167",60.2,74.6,4.4,4.6,0.26,53.61,36.36,19,6.8547,2.74
"168",69.8,76.6,13.1,4.9,0.4,51.6,55.75,15.5,6.1613,2.46
"169",79.4,75.6,4.5,5.1,0.36,52.27,60.32,23,6.4809,2.59
"170",89,74.6,5.8,5.1,0.44,53.61,62.8,14.5,5.7807,2.31
"171",98.6,75.6,6.1,5,0.48,60.3,51.92,15,6.9517,2.78
"172",108.2,77.6,4.4,4.9,0.46,53.61,59.16,26,6.2093,2.48
"173",117.8,74.6,4.1,4.9,0.42,63.66,52.64,19,7.2573,2.9
"174",127.4,74.6,3.8,4.6,0.4,60.3,46.82,15.5,6.5469,2.62
"175",137,73.6,4.1,5,0.28,63.66,39.11,15.5,6.6861,2.67
"176",146.6,76.6,5.2,4.9,0.3,68.35,37.69,16.5,5.6983,2.28
"177",4.6,82.8,3.4,5.1,0.3,56.97,58.42,22,7.8583,3.14
"178",14.2,80.8,3.6,5.3,0.31,50.26,63.73,18.5,5.7027,2.28
"179",23.8,83.8,3.4,5.1,0.22,46.9,60.92,23,6.6942,2.68
"180",33.4,84.8,3.5,4.7,0.27,53.61,46.1,27,5.7373,2.29
"181",43,80.8,3.1,4.7,0.38,54.95,45.53,19,7.7056,3.08
"182",52.6,80.8,3.5,4.6,0.32,53.61,38.89,26.5,5.8503,2.34
"183",62.2,81.8,3,4.5,0.3,61.64,39.49,21,6.6171,2.65
"184",71.8,83.8,4.6,4.5,0.52,65.67,40.12,22.5,4.8146,1.93
"185",81.4,82.8,4.5,4.7,0.43,58.98,48.37,13,6.0686,2.43
"186",91,81.8,6.7,4.7,0.56,67.01,47.62,18,7.1531,2.86
"187",100.6,82.8,4.1,4.9,0.5,63.66,59.72,20,6.6078,2.64
"188",110.2,84.8,3.9,4.6,0.4,58.98,46.5,27,7.3062,2.92
"189",119.8,81.8,3.4,4.7,0.3,53.61,46.55,22,5.445,2.18
"190",129.4,81.8,4.1,4.5,0.29,56.97,37.83,31.5,6.1428,2.46
"191",139,80.8,2.8,4.3,0.26,53.61,36.06,23.5,7.4996,3
"192",148.6,83.8,4.1,4.6,0.19,60.3,41.71,19,5.4812,2.19
"193",3.6,90,3.3,5.2,0.21,50.26,61.74,23,6.1138,2.45
"194",13.2,88,6.7,5.1,0.36,53.61,62.7,15.5,6.4643,2.59
"195",22.8,91,3.3,5.3,0.26,50.26,65.79,24.5,7.3412,2.94
"196",32.4,92,5.1,5,0.26,56.97,59.14,19.5,5.3317,2.13
"197",42,88,4.1,5.1,0.38,46.9,58.49,21,5.9964,2.4
"198",51.6,88,5.5,4.7,0.31,42.9,48.84,24.5,5.3422,2.14
"199",61.2,89,4.9,5.2,0.38,50.26,59.03,24,7.5965,3.04
"200",70.8,91,4.5,5,0.32,56.3,55.39,23,5.8191,2.33
"201",80.4,90,5.9,5.1,0.47,56.97,57.82,27.5,7.1031,2.84
"202",90,89,4.5,4.9,0.45,56.97,49.91,29.5,6.6033,2.64
"203",99.6,90,5.4,4.7,0.42,56.97,46.02,27,7.5473,3.02
"204",109.2,92,6.9,4.7,0.47,56.97,48.27,27.5,6.0977,2.44
"205",118.8,89,6.2,4.4,0.32,56.97,35.17,23.5,6.8545,2.74
"206",128.4,89,3.7,4.5,0.22,63.66,40.79,30,5.6398,2.26
"207",138,88,9.1,4.3,0.22,60.3,34.04,23.5,6.2404,2.5
"208",147.6,91,4.8,4.4,0.38,65,39.03,25,6.049,2.42
"209",3.6,97.2,6.4,4.6,0.36,54.95,48.6,20.5,5.8089,2.32
"210",13.2,95.2,4.4,4.8,0.22,53.61,51.71,26,6.3444,2.54
"211",22.8,98.2,5.2,4.8,0.41,56.97,57.07,18.5,6.6562,2.66
"212",32.4,99.2,4.5,5,0.44,63.66,52.25,16.5,7.1701,2.87
"213",42,95.2,5.5,4.9,0.45,58.98,51.1,21,6.7987,2.72
"214",51.6,95.2,4.2,4.8,0.32,53.61,55.33,21,5.9859,2.39
"215",61.2,96.2,4.9,4.7,0.44,60.3,50.62,23,9.1227,3.65
"216",70.8,98.2,4.1,4.4,0.4,53.61,34.69,26,7.4641,2.99
"217",80.4,97.2,4.1,4.5,0.49,53.61,40.23,19.5,7.6554,3.06
"218",90,96.2,5.1,4.6,0.43,61.64,46.81,17,6.1111,2.44
"219",99.6,97.2,6.4,4.5,0.43,65,41.14,20,8.4533,3.38
"220",109.2,99.2,5.6,4.5,0.32,61.64,38.49,24,5.555,2.22
"221",118.8,96.2,4.5,4.4,0.28,54.95,35.85,23,7.9315,3.17
"222",128.4,96.2,6.2,4.3,0.26,56.97,32.82,20,5.582,2.23
"223",138,95.2,6.1,4.2,0.27,60.3,34.38,23,4.2031,1.68
"224",147.6,98.2,3.8,4.6,0.27,56.3,48.04,20.5,5.6209,2.25
"225",4.6,104.4,5.6,4.8,0.37,53.61,49.58,12.5,6.9377,2.78
"226",14.2,102.4,3.6,4.7,0.32,56.97,47.59,19.5,6.6828,2.67
"227",23.8,105.4,3.8,4.6,0.22,53.61,41.61,13,7.7231,3.09
"228",33.4,106.4,4.8,4.7,0.3,60.3,41.14,13.5,6.4397,2.58
"229",43,102.4,3.5,4.5,0.31,52.27,39.86,20.5,7.6885,3.08
"230",52.6,102.4,4.1,4.8,0.37,53.61,41.46,14.5,8.3026,3.32
"231",62.2,103.4,3.7,4.7,0.38,60.3,42.57,13,8.7339,3.49
"232",71.8,105.4,3.3,4.6,0.41,58.98,42.61,15.5,6.538,2.62
"233",81.4,104.4,4.5,4.5,0.32,60.3,39.3,17.5,8.0097,3.2
"234",91,103.4,5.9,4.7,0.34,60.3,47.31,17,6.1562,2.46
"235",100.6,104.4,4.2,4.3,0.29,60.3,32.86,22.5,6.7923,2.72
"236",110.2,106.4,4.2,4.5,0.26,54.95,38.96,18.5,5.8773,2.35
"237",119.8,103.4,4.1,4.4,0.22,63.66,36.47,16.5,6.9363,2.77
"238",129.4,103.4,4.1,4.6,0.32,56.97,42.09,13.5,4.4331,1.77
"239",139,102.4,3.7,5,0.26,48.25,55.11,25,6.5223,2.61
"240",148.6,105.4,4.4,5.9,0.48,48.25,71.58,22.5,4.2718,1.71
"241",1.6,111.6,4.1,4.9,0.26,58.98,47.49,18,4.8003,1.92
"242",11.2,109.6,3.7,4.7,0.27,53.61,40.78,15,5.1298,2.05
"243",20.8,112.6,3.9,4.7,0.24,53.61,44.96,20,6.304,2.52
"244",30.4,113.6,2.9,4.9,0.25,53.61,49.28,23,5.557,2.22
"245",40,109.6,6.7,4.7,0.3,58.98,41.53,18.5,5.7007,2.28
"246",49.6,109.6,3.9,5.1,0.46,58.98,50.48,24.5,6.2811,2.51
"247",59.2,110.6,4.3,4.8,0.44,52.27,43.19,19.5,7.1394,2.86
"248",68.8,112.6,3.3,4.7,0.42,56.97,41.92,24.5,5.8795,2.35
"249",78.4,111.6,3.7,4.8,0.32,60.3,41.28,22.5,8.4981,3.4
"250",88,110.6,5.2,4.5,0.3,46.9,29.15,14.5,6.6885,2.68
"251",97.6,111.6,6.2,4.5,0.31,56.97,30.49,21,6.544,2.62
"252",107.2,113.6,3.4,4.6,0.3,56.3,41.87,17,6.2918,2.52
"253",116.8,110.6,4.5,4.6,0.24,56.97,37.9,27,5.5442,2.22
"254",126.4,110.6,3.1,5.2,0.23,63.66,59.17,24.5,4.7933,1.92
"255",136,109.6,3.7,5.5,0.37,53.61,63.2,28,8.2063,3.28
"256",145.6,112.6,5.5,5.2,0.39,58.98,56.25,22,4.8081,1.92
